input_dir1,input_dir2,LVIS_Inst_1,LVIS_Inst_2,filename1,filename2,outname,img1_in_gee,img2_in_gee,Status,Site,TimeDiff,Burned
/projects/above_gedi/users/lpuckett/ShovelCreek/LVISF2_ABoVE_2019/0_orig/,/projects/above_gedi/users/lpuckett/ShovelCreek/LVISF2_ABoVE_2019/0_orig/,Facility_2019,Facility_2019,LVISF2_ABoVE2019_0722_R2003_075347.TXT,LVISF2_ABoVE2019_0722_R2003_079096.TXT,SC_sameDay_2019_1,7,9,COMPLETED,SC,same,
/projects/above_gedi/users/lpuckett/ShovelCreek/LVISF2_ABoVE_2019/0_orig/,/projects/above_gedi/users/lpuckett/ShovelCreek/LVISF2_ABoVE_2019/0_orig/,Facility_2019,Facility_2019,LVISF2_ABoVE2019_0722_R2003_075251.TXT,LVISF2_ABoVE2019_0722_R2003_079004.TXT,SC_sameDay_2019_2,6,8,COMPLETED,SC,same,
/projects/above_gedi/users/lpuckett/ShovelCreek/LVISF2_ABoVE_2019/0_orig/,/projects/above_gedi/users/lpuckett/ShovelCreek/LVISF2_ABoVE_2019/0_orig/,Facility_2019,Facility_2019,LVISF2_ABoVE2019_0718_R2003_066399.TXT,LVISF2_ABoVE2019_0722_R2003_072387.TXT,SC_diffDay_2019_1,2,4,COMPLETED,SC,days,
/projects/above_gedi/users/lpuckett/ShovelCreek/LVISF2_ABoVE_2019/0_orig/,/projects/above_gedi/users/lpuckett/ShovelCreek/LVISF2_ABoVE_2019/0_orig/,Facility_2019,Facility_2019,LVISF2_ABoVE2019_0718_R2003_064885.TXT,LVISF2_ABoVE2019_0722_R2003_072297.TXT,SC_diffDay_2019_2,1,3,COMPLETED,SC,days,
/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,Facility_2017,Facility_2017,LVIS2_ABoVE2017_0703_R1803_087324.TXT,LVIS2_ABoVE2017_0706_R1803_062982.TXT,R2_diffDay_2017_1,9,10,COMPLETED,R2,days,
/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,/projects/above_gedi/users/lpuckett/Rainbow2/LVISF2_ABoVE_2019/0_orig/,Facility_2017,Facility_2019,LVIS2_ABoVE2017_0703_R1803_087220.TXT,LVISF2_ABoVE2019_0722_R2003_089834.TXT,R2_diffYear_1,8,5,COMPLETED,R2,years,no
/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,/projects/above_gedi/users/lpuckett/Rainbow2/LVISF2_ABoVE_2019/0_orig/,Facility_2017,Facility_2019,LVIS2_ABoVE2017_0703_R1803_087324.TXT,LVISF2_ABoVE2019_0801_R2003_088389.TXT,R2_diffYear_2,9,7,COMPLETED,R2,years,no
/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,/projects/above_gedi/users/lpuckett/Rainbow2/LVISF2_ABoVE_2019/0_orig/,Facility_2017,Facility_2019,LVIS2_ABoVE2017_0706_R1803_062982.TXT,LVISF2_ABoVE2019_0801_R2003_088389.TXT,R2_diffYear_3,10,7,COMPLETED,R2,years,no
/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,Facility_2017,Facility_2017,LVIS2_ABoVE2017_0715_R1803_067867.TXT,LVIS2_ABoVE2017_0715_R1803_072857.TXT,HR_diffDay_2017_1,2,5,COMPLETED,HR,days,
/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,/projects/above_gedi/users/lpuckett/Hadweenzic_River/LVISF2_ABoVE_2019/0_orig/,Facility_2017,Facility_2019,LVIS2_ABoVE2017_0715_R1803_067867.TXT,LVISF2_ABoVE2019_0722_R2003_070600.TXT,HR_diffYear_1_unburned,2,12,COMPLETED,HR,years,no
/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,/projects/above_gedi/users/lpuckett/Hadweenzic_River/LVISF2_ABoVE_2019/0_orig/,Facility_2017,Facility_2019,LVIS2_ABoVE2017_0715_R1803_072857.TXT,LVISF2_ABoVE2019_0722_R2003_070600.TXT,HR_diffYear_2_unburned,5,12,COMPLETED,HR,years,no
/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,Facility_2017,Facility_2017,LVIS2_ABoVE2017_0715_R1803_067779.TXT,LVIS2_ABoVE2017_0715_R1803_072940.TXT,HR_sameDay_2017_1,1,6,ALMOST,HR,days,no
/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,/projects/above_gedi/users/lpuckett/Hadweenzic_River/LVISF2_ABoVE_2019/0_orig/,Facility_2017,Facility_2019,LVIS2_ABoVE2017_0715_R1803_067779.TXT,LVISF2_ABoVE2019_0722_R2003_070600.TXT,HR_diffYear_1_burned,1,12,ALMOST,HR,years,yes
/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,/projects/above_gedi/users/lpuckett/Hadweenzic_River/LVISF2_ABoVE_2019/0_orig/,Facility_2017,Facility_2019,LVIS2_ABoVE2017_0715_R1803_072940.TXT,LVISF2_ABoVE2019_0722_R2003_070600.TXT,HR_diffYear_2_burned,6,12,ALMOST,HR,years,yes
/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,Facility_2017,Facility_2017,LVIS2_ABoVE2017_0706_R1803_064751.TXT,LVIS2_ABoVE2017_0703_R1803_085670.TXT,other_sameDay_2017_1,486,445,COMPLETED,other,days,
/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,Facility_2017,Facility_2017,LVIS2_ABoVE2017_0706_R1803_074007.TXT,LVIS2_ABoVE2017_0706_R1803_064087.TXT,other_sameDay_2017_2,,,,other,same,
/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,Facility_2017,Facility_2017,LVIS2_ABoVE2017_0630_R1803_071863.TXT,LVIS2_ABoVE2017_0630_R1803_073102.TXT,other_sameDay_2017_3,,,COMPLETED,other,same,
/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,Facility_2017,Facility_2017,LVIS2_ABoVE2017_0717_R1803_063602.TXT,LVIS2_ABoVE2017_0717_R1803_066606.TXT,other_sameDay_2017_4,,,COMPLETED,other,same,
/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,/projects/above_gedi/share/lidar/LVIS/ABoVE_2017/ABLVIS2_001/0_orig/,Facility_2017,Facility_2017,LVIS2_ABoVE2017_0714_R1803_085713.TXT,LVIS2_ABoVE2017_0714_R1803_084855.TXT,other_sameDay_2017_5,746,739,COMPLETED,other,same,
